DATE,DPCREDIT
10/19/2022,3.25
10/20/2022,3.25
10/21/2022,3.25
10/24/2022,3.25
10/25/2022,3.25
10/26/2022,3.25
10/27/2022,3.25
10/28/2022,3.25
10/31/2022,3.25
11/1/2022,3.25
11/2/2022,3.25
11/3/2022,4
11/4/2022,4
11/7/2022,4
11/8/2022,4
11/9/2022,4
11/10/2022,4
11/11/2022,4
11/14/2022,4
11/15/2022,4
11/16/2022,4
11/17/2022,4
11/18/2022,4
11/21/2022,4
11/22/2022,4
11/23/2022,4
11/24/2022,4
11/25/2022,4
11/28/2022,4
11/29/2022,4
11/30/2022,4
12/1/2022,4
12/2/2022,4
12/5/2022,4
12/6/2022,4
12/7/2022,4
12/8/2022,4
12/9/2022,4
12/12/2022,4
12/13/2022,4
12/14/2022,4
12/15/2022,4.5
12/16/2022,4.5
12/19/2022,4.5
12/20/2022,4.5
12/21/2022,4.5
12/22/2022,4.5
12/23/2022,4.5
12/26/2022,4.5
12/27/2022,4.5
12/28/2022,4.5
12/29/2022,4.5
12/30/2022,4.5
1/2/2023,4.5
1/3/2023,4.5
1/4/2023,4.5
1/5/2023,4.5
1/6/2023,4.5
1/9/2023,4.5
1/10/2023,4.5
1/11/2023,4.5
1/12/2023,4.5
1/13/2023,4.5
1/16/2023,4.5
1/17/2023,4.5
1/18/2023,4.5
1/19/2023,4.5
1/20/2023,4.5
1/23/2023,4.5
1/24/2023,4.5
1/25/2023,4.5
1/26/2023,4.5
1/27/2023,4.5
1/30/2023,4.5
1/31/2023,4.5
2/1/2023,4.5
2/2/2023,4.75
2/3/2023,4.75
2/6/2023,4.75
2/7/2023,4.75
2/8/2023,4.75
2/9/2023,4.75
2/10/2023,4.75
2/13/2023,4.75
2/14/2023,4.75
2/15/2023,4.75
2/16/2023,4.75
2/17/2023,4.75
2/20/2023,4.75
2/21/2023,4.75
2/22/2023,4.75
2/23/2023,4.75
2/24/2023,4.75
2/27/2023,4.75
2/28/2023,4.75
3/1/2023,4.75
3/2/2023,4.75
3/3/2023,4.75
3/6/2023,4.75
3/7/2023,4.75
3/8/2023,4.75
3/9/2023,4.75
3/10/2023,4.75
3/13/2023,4.75
3/14/2023,4.75
3/15/2023,4.75
3/16/2023,4.75
3/17/2023,4.75
3/20/2023,4.75
3/21/2023,4.75
3/22/2023,4.75
3/23/2023,5
3/24/2023,5
3/27/2023,5
3/28/2023,5
3/29/2023,5
3/30/2023,5
3/31/2023,5
4/3/2023,5
4/4/2023,5
4/5/2023,5
4/6/2023,5
4/7/2023,5
4/10/2023,5
4/11/2023,5
4/12/2023,5
4/13/2023,5
4/14/2023,5
4/17/2023,5
4/18/2023,5
4/19/2023,5
4/20/2023,5
4/21/2023,5
4/24/2023,5
4/25/2023,5
4/26/2023,5
4/27/2023,5
4/28/2023,5
5/1/2023,5
5/2/2023,5
5/3/2023,5
5/4/2023,5.25
5/5/2023,5.25
5/8/2023,5.25
5/9/2023,5.25
5/10/2023,5.25
5/11/2023,5.25
5/12/2023,5.25
5/15/2023,5.25
5/16/2023,5.25
5/17/2023,5.25
5/18/2023,5.25
5/19/2023,5.25
5/22/2023,5.25
5/23/2023,5.25
5/24/2023,5.25
5/25/2023,5.25
5/26/2023,5.25
5/29/2023,.
5/30/2023,5.25
5/31/2023,5.25
6/1/2023,5.25
6/2/2023,5.25
6/5/2023,5.25
6/6/2023,5.25
6/7/2023,5.25
6/8/2023,5.25
6/9/2023,5.25
6/12/2023,5.25
6/13/2023,5.25
6/14/2023,5.25
6/15/2023,5.25
6/16/2023,5.25
6/19/2023,5.25
6/20/2023,5.25
6/21/2023,5.25
6/22/2023,5.25
6/23/2023,5.25
6/26/2023,5.25
6/27/2023,5.25
6/28/2023,5.25
6/29/2023,5.25
6/30/2023,5.25
7/3/2023,5.25
7/4/2023,5.25
7/5/2023,5.25
7/6/2023,5.25
7/7/2023,5.25
7/10/2023,5.25
7/11/2023,5.25
7/12/2023,5.25
7/13/2023,5.25
7/14/2023,5.25
7/17/2023,5.25
7/18/2023,5.25
7/19/2023,5.25
7/20/2023,5.25
7/21/2023,5.25
7/24/2023,5.25
7/25/2023,5.25
7/26/2023,5.25
7/27/2023,5.5
7/28/2023,5.5
7/31/2023,5.5
8/1/2023,5.5
8/2/2023,5.5
8/3/2023,5.5
8/4/2023,5.5
8/7/2023,5.5
8/8/2023,5.5
8/9/2023,5.5
8/10/2023,5.5
8/11/2023,5.5
8/14/2023,5.5
8/15/2023,5.5
8/16/2023,5.5
8/17/2023,5.5
8/18/2023,5.5
8/21/2023,5.5
8/22/2023,5.5
8/23/2023,5.5
8/24/2023,5.5
8/25/2023,5.5
8/28/2023,5.5
8/29/2023,5.5
8/30/2023,5.5
8/31/2023,5.5
9/1/2023,5.5
9/4/2023,.
9/5/2023,5.5
9/6/2023,5.5
9/7/2023,5.5
